explo,date,year,doy,PET
ALB,2006-10-20,2006,293,1.1
SCH,2006-10-21,2006,294,0.6
ALB,2006-10-21,2006,294,0.8
SCH,2006-10-22,2006,295,1.0
ALB,2006-10-22,2006,295,1.2
SCH,2006-10-23,2006,296,1.1
ALB,2006-10-23,2006,296,0.9
SCH,2006-10-24,2006,297,1.4
ALB,2006-10-24,2006,297,1.9
SCH,2006-10-25,2006,298,1.1
ALB,2006-10-25,2006,298,0.9
SCH,2006-10-26,2006,299,1.6
ALB,2006-10-26,2006,299,1.4
SCH,2006-10-27,2006,300,1.7
ALB,2006-10-27,2006,300,0.6
SCH,2006-10-28,2006,301,0.7
ALB,2006-10-28,2006,301,0.7
SCH,2006-10-29,2006,302,1.2
ALB,2006-10-29,2006,302,1.1
SCH,2006-10-30,2006,303,0.4
ALB,2006-10-30,2006,303,0.7
SCH,2006-10-31,2006,304,1.3
ALB,2006-10-31,2006,304,0.7
SCH,2006-11-01,2006,305,1.2
ALB,2006-11-01,2006,305,1.1
SCH,2006-11-02,2006,306,0.5
ALB,2006-11-02,2006,306,0.6
SCH,2006-11-03,2006,307,0.5
ALB,2006-11-03,2006,307,0.4
SCH,2006-11-04,2006,308,0.4
ALB,2006-11-04,2006,308,0.2
SCH,2006-11-05,2006,309,1.0
ALB,2006-11-05,2006,309,0.5
SCH,2006-11-06,2006,310,0.7
ALB,2006-11-06,2006,310,0.6
SCH,2006-11-07,2006,311,0.5
ALB,2006-11-07,2006,311,0.9
SCH,2006-11-08,2006,312,0.5
ALB,2006-11-08,2006,312,0.5
SCH,2006-11-09,2006,313,0.8
ALB,2006-11-09,2006,313,0.6
SCH,2006-11-10,2006,314,0.4
ALB,2006-11-10,2006,314,0.5
SCH,2006-11-11,2006,315,0.6
ALB,2006-11-11,2006,315,0.4
SCH,2006-11-12,2006,316,0.8
ALB,2006-11-12,2006,316,1.6
SCH,2006-11-13,2006,317,0.3
ALB,2006-11-13,2006,317,0.5
SCH,2006-11-14,2006,318,0.5
ALB,2006-11-14,2006,318,0.4
SCH,2006-11-15,2006,319,0.5
ALB,2006-11-15,2006,319,0.5
SCH,2006-11-16,2006,320,0.6
ALB,2006-11-16,2006,320,0.7
SCH,2006-11-17,2006,321,0.6
ALB,2006-11-17,2006,321,0.6
SCH,2006-11-18,2006,322,0.3
ALB,2006-11-18,2006,322,0.7
SCH,2006-11-19,2006,323,0.1
ALB,2006-11-19,2006,323,0.4
SCH,2006-11-20,2006,324,0.5
ALB,2006-11-20,2006,324,0.5
SCH,2006-11-21,2006,325,0.4
ALB,2006-11-21,2006,325,0.6
SCH,2006-11-22,2006,326,0.1
ALB,2006-11-22,2006,326,0.5
SCH,2006-11-23,2006,327,0.3
ALB,2006-11-23,2006,327,0.3
SCH,2006-11-24,2006,328,0.7
ALB,2006-11-24,2006,328,0.5
SCH,2006-11-25,2006,329,0.5
ALB,2006-11-25,2006,329,0.5
SCH,2006-11-26,2006,330,0.4
ALB,2006-11-26,2006,330,0.5
SCH,2006-11-27,2006,331,0.1
ALB,2006-11-27,2006,331,0.4
SCH,2006-11-28,2006,332,0.0
ALB,2006-11-28,2006,332,0.3
SCH,2006-11-29,2006,333,0.1
ALB,2006-11-29,2006,333,0.3
SCH,2006-11-30,2006,334,0.1
ALB,2006-11-30,2006,334,0.2
SCH,2006-12-01,2006,335,0.2
ALB,2006-12-01,2006,335,0.1
SCH,2006-12-02,2006,336,0.3
ALB,2006-12-02,2006,336,0.2
SCH,2006-12-03,2006,337,0.4
ALB,2006-12-03,2006,337,0.5
SCH,2006-12-04,2006,338,0.7
ALB,2006-12-04,2006,338,0.8
SCH,2006-12-05,2006,339,0.9
ALB,2006-12-05,2006,339,0.9
SCH,2006-12-06,2006,340,0.7
ALB,2006-12-06,2006,340,0.6
SCH,2006-12-07,2006,341,0.8
ALB,2006-12-07,2006,341,0.3
SCH,2006-12-08,2006,342,0.7
ALB,2006-12-08,2006,342,0.6
SCH,2006-12-09,2006,343,0.7
ALB,2006-12-09,2006,343,0.4
SCH,2006-12-10,2006,344,0.2
ALB,2006-12-10,2006,344,0.4
SCH,2006-12-11,2006,345,0.3
ALB,2006-12-11,2006,345,0.1
SCH,2006-12-12,2006,346,0.6
ALB,2006-12-12,2006,346,0.3
SCH,2006-12-13,2006,347,0.8
ALB,2006-12-13,2006,347,0.3
SCH,2006-12-14,2006,348,0.6
ALB,2006-12-14,2006,348,0.4
